"Path Profile 1022X= Y=[13,191] W=35   - Red","AD\jneylon 12/7/2023 1:54:23 PM"
x / mm,y / cGy
x1,y1
0.0,0.0
0.2,0.0
0.3,197.8
0.5,397.9
0.7,377.8
0.8,360.7
1.0,363.6
1.2,358.3
1.4,350.6
1.5,350.1
1.7,350.7
1.9,342.0
2.0,347.9
2.2,348.3
2.4,343.8
2.5,335.1
2.7,331.0
2.9,325.7
3.0,319.6
3.2,323.0
3.4,313.5
3.6,320.1
3.7,307.0
3.9,307.9
4.1,305.9
4.2,304.0
4.4,295.6
4.6,296.3
4.7,286.9
4.9,282.2
5.1,290.8
5.2,288.2
5.4,280.0
5.6,277.2
5.8,272.1
5.9,264.8
6.1,272.3
6.3,259.7
6.4,262.6
6.6,260.4
6.8,252.2
6.9,254.8
7.1,250.5
7.3,247.2
7.5,245.4
7.6,245.7
7.8,240.5
8.0,241.3
8.1,228.8
8.3,235.9
8.5,228.4
8.6,223.2
8.8,221.2
9.0,222.0
9.1,222.0
9.3,213.7
9.5,215.2
9.7,210.1
9.8,209.9
10.0,208.1
10.2,209.0
10.3,203.7
10.5,200.5
10.7,197.6
10.8,194.5
11.0,197.3
11.2,194.3
11.3,195.7
11.5,189.6
11.7,189.1
11.9,184.0
12.0,185.9
12.2,178.5
12.4,181.4
12.5,177.8
12.7,175.3
12.9,175.0
13.0,172.4
13.2,170.2
13.4,170.4
13.5,167.5
13.7,167.3
13.9,166.8
14.1,160.8
14.2,161.2
14.4,161.5
14.6,157.8
14.7,158.7
14.9,154.9
15.1,151.2
15.2,154.0
15.4,152.8
15.6,154.7
15.7,152.1
15.9,151.8
16.1,148.4
16.3,145.5
16.4,141.8
16.6,145.3
16.8,146.3
16.9,142.2
17.1,139.3
17.3,139.0
17.4,139.7
17.6,141.5
17.8,137.5
17.9,138.9
18.1,138.8
18.3,137.7
18.5,132.5
18.6,135.9
18.8,135.0
19.0,133.2
19.1,132.6
19.3,132.0
19.5,132.8
19.6,135.5
19.8,129.2
20.0,131.8
20.2,127.3
20.3,128.8
20.5,127.2
20.7,127.1
20.8,129.0
21.0,128.5
21.2,128.3
21.3,125.2
21.5,123.9
21.7,124.9
21.8,120.6
22.0,126.2
22.2,124.5
22.4,125.5
22.5,120.1
22.7,128.1
22.9,122.8
23.0,123.9
23.2,123.5
23.4,125.0
23.5,122.8
23.7,127.9
23.9,124.2
24.0,123.8
24.2,127.9
24.4,123.7
24.6,127.6
24.7,125.6
24.9,126.5
25.1,123.3
25.2,121.8
25.4,123.7
25.6,121.8
25.7,121.8
25.9,125.6
26.1,123.8
26.2,122.5
26.4,120.0
26.6,122.8
26.8,122.5
26.9,124.5
27.1,121.3
27.3,122.2
27.4,120.1
27.6,118.5
27.8,117.5
27.9,121.1
28.1,117.5
28.3,120.2
28.4,116.4
28.6,123.0
28.8,114.9
29.0,116.3
29.1,116.1
29.3,114.8
29.5,116.3
29.6,116.9
29.8,114.1
30.0,116.5

