"Path Profile X=[1390,1527] Y=331 W=35   - Red","AD\jneylon 12/7/2023 1:47:19 PM"
x / mm,y / cGy
x1,y1
0.0,0.0
0.2,0.0
0.3,0.0
0.5,0.0
0.7,0.0
0.8,0.0
1.0,0.0
1.2,0.0
1.4,0.0
1.5,40.8
1.7,456.3
1.9,445.4
2.0,422.9
2.2,409.8
2.4,398.7
2.5,389.8
2.7,378.8
2.9,371.5
3.0,369.0
3.2,355.3
3.4,351.5
3.6,339.2
3.7,333.7
3.9,329.8
4.1,323.8
4.2,313.7
4.4,309.1
4.6,303.6
4.7,299.9
4.9,293.9
5.1,288.9
5.2,282.3
5.4,280.4
5.6,272.8
5.8,268.7
5.9,264.8
6.1,259.9
6.3,253.9
6.4,248.8
6.6,247.9
6.8,245.2
6.9,240.4
7.1,235.3
7.3,232.6
7.5,229.2
7.6,226.4
7.8,224.9
8.0,218.8
8.1,216.9
8.3,210.2
8.5,211.0
8.6,207.0
8.8,203.9
9.0,199.5
9.1,196.7
9.3,195.7
9.5,191.2
9.7,189.7
9.8,189.2
10.0,186.5
10.2,183.3
10.3,182.6
10.5,180.3
10.7,177.0
10.8,175.3
11.0,174.6
11.2,172.3
11.3,167.6
11.5,169.0
11.7,164.1
11.9,163.5
12.0,161.0
12.2,160.6
12.4,156.3
12.5,155.7
12.7,154.3
12.9,153.5
13.0,151.7
13.2,149.1
13.4,147.1
13.5,145.2
13.7,146.7
13.9,142.3
14.1,143.0
14.2,141.7
14.4,140.0
14.6,140.0
14.7,136.4
14.9,137.3
15.1,134.4
15.2,136.2
15.4,135.0
15.6,130.6
15.7,130.8
15.9,130.3
16.1,131.2
16.3,127.6
16.4,127.7
16.6,125.6
16.8,124.8
16.9,125.5
17.1,122.7
17.3,121.6
17.4,120.1
17.6,120.7
17.8,116.7
17.9,115.9
18.1,117.5
18.3,114.8
18.5,114.8
18.6,111.3
18.8,112.2
19.0,112.2
19.1,112.2
19.3,111.5
19.5,110.7
19.6,109.3
19.8,107.8
20.0,108.6
20.2,105.7
20.3,106.0
20.5,106.2
20.7,104.0
20.8,102.6
21.0,105.1
21.2,102.7
21.3,102.0
21.5,100.9
21.7,101.4
21.8,100.6
22.0,99.8
22.2,98.6
22.4,97.0
22.5,96.9
22.7,96.8
22.9,97.4
23.0,96.2
23.2,95.0

