"Path Profile 1563X= Y=[703,855] W=35   - Red","AD\jneylon 12/7/2023 1:57:31 PM"
x / mm,y / cGy
x1,y1
0.0,0.0
0.2,0.0
0.3,0.0
0.5,0.0
0.7,0.0
0.8,0.0
1.0,10.6
1.2,242.7
1.4,233.3
1.5,273.4
1.7,285.5
1.9,278.6
2.0,272.7
2.2,261.7
2.4,255.5
2.5,249.7
2.7,243.4
2.9,235.6
3.0,229.4
3.2,223.4
3.4,224.8
3.6,217.5
3.7,213.8
3.9,207.1
4.1,200.8
4.2,194.2
4.4,196.2
4.6,192.3
4.7,184.9
4.9,182.4
5.1,182.4
5.2,177.0
5.4,175.5
5.6,173.2
5.8,171.5
5.9,164.8
6.1,165.7
6.3,167.9
6.4,161.7
6.6,158.3
6.8,163.7
6.9,163.4
7.1,163.4
7.3,163.8
7.5,161.3
7.6,153.9
7.8,157.1
8.0,153.4
8.1,152.4
8.3,149.6
8.5,147.2
8.6,148.2
8.8,144.2
9.0,144.6
9.1,146.8
9.3,145.3
9.5,135.9
9.7,135.6
9.8,134.4
10.0,134.1
10.2,130.0
10.3,126.4
10.5,124.9
10.7,130.5
10.8,117.1
11.0,119.7
11.2,122.9
11.3,114.4
11.5,116.3
11.7,115.9
11.9,113.4
12.0,111.3
12.2,106.2
12.4,103.4
12.5,104.5
12.7,103.8
12.9,99.1
13.0,98.8
13.2,101.0
13.4,99.1
13.5,96.1
13.7,97.8
13.9,102.6
14.1,98.9
14.2,98.2
14.4,99.4
14.6,97.1
14.7,96.8
14.9,97.6
15.1,90.5
15.2,93.3
15.4,93.1
15.6,92.8
15.7,93.0
15.9,87.8
16.1,87.6
16.3,86.3
16.4,85.3
16.6,87.5
16.8,86.1
16.9,85.7
17.1,81.7
17.3,81.4
17.4,77.7
17.6,80.9
17.8,77.7
17.9,77.9
18.1,73.6
18.3,79.5
18.5,75.7
18.6,72.6
18.8,72.6
19.0,73.3
19.1,71.2
19.3,73.7
19.5,70.1
19.6,71.4
19.8,69.8
20.0,67.9
20.2,70.9
20.3,67.9
20.5,63.6
20.7,65.8
20.8,66.1
21.0,69.7
21.2,73.8
21.3,71.5
21.5,71.4
21.7,71.1
21.8,70.2
22.0,69.8
22.2,65.5
22.4,67.8
22.5,63.7
22.7,67.1
22.9,63.9
23.0,63.7
23.2,62.1
23.4,62.6
23.5,61.7
23.7,61.5
23.9,61.1
24.0,57.9
24.2,60.2
24.4,60.6
24.6,55.8
24.7,57.4
24.9,58.5
25.1,55.5
25.2,57.9
25.4,56.4
25.6,54.6

