"Path Profile 624X= Y=[11,162] W=35   - Red","AD\jneylon 12/7/2023 1:50:30 PM"
x / mm,y / cGy
x1,y1
0.0,0.0
0.2,0.0
0.3,0.0
0.5,0.0
0.7,0.0
0.8,0.0
1.0,462.2
1.2,442.0
1.4,441.4
1.5,422.5
1.7,408.2
1.9,395.9
2.0,388.2
2.2,379.2
2.4,376.1
2.5,371.5
2.7,367.4
2.9,354.8
3.0,351.1
3.2,342.0
3.4,331.0
3.6,334.6
3.7,324.8
3.9,328.8
4.1,315.8
4.2,316.2
4.4,310.5
4.6,311.2
4.7,299.3
4.9,299.2
5.1,291.2
5.2,283.8
5.4,286.5
5.6,281.3
5.8,274.6
5.9,275.2
6.1,268.9
6.3,264.1
6.4,269.5
6.6,255.6
6.8,255.9
6.9,251.4
7.1,244.9
7.3,244.4
7.5,241.7
7.6,235.7
7.8,235.1
8.0,235.0
8.1,228.2
8.3,233.0
8.5,220.0
8.6,224.6
8.8,218.7
9.0,213.5
9.1,212.9
9.3,210.7
9.5,210.3
9.7,205.0
9.8,202.8
10.0,199.3
10.2,197.5
10.3,196.2
10.5,196.9
10.7,192.7
10.8,190.4
11.0,187.8
11.2,185.8
11.3,183.9
11.5,183.8
11.7,182.3
11.9,176.3
12.0,177.8
12.2,172.7
12.4,175.5
12.5,169.1
12.7,168.0
12.9,166.7
13.0,165.0
13.2,167.1
13.4,159.8
13.5,158.4
13.7,158.2
13.9,155.7
14.1,155.9
14.2,157.1
14.4,151.1
14.6,149.3
14.7,149.4
14.9,149.0
15.1,147.2
15.2,144.5
15.4,142.7
15.6,140.2
15.7,140.9
15.9,143.6
16.1,141.3
16.3,137.2
16.4,134.2
16.6,133.6
16.8,130.4
16.9,130.1
17.1,132.5
17.3,129.9
17.4,127.8
17.6,129.6
17.8,126.5
17.9,127.2
18.1,122.9
18.3,123.4
18.5,123.8
18.6,121.2
18.8,119.0
19.0,119.0
19.1,115.6
19.3,114.5
19.5,117.9
19.6,114.1
19.8,116.1
20.0,116.5
20.2,112.7
20.3,110.5
20.5,109.8
20.7,109.7
20.8,106.9
21.0,109.1
21.2,107.5
21.3,107.3
21.5,109.8
21.7,103.5
21.8,106.1
22.0,100.8
22.2,97.5
22.4,102.6
22.5,100.3
22.7,101.4
22.9,95.8
23.0,104.8
23.2,98.6
23.4,98.6
23.5,99.2
23.7,100.8
23.9,98.7
24.0,101.1
24.2,100.0
24.4,98.0
24.6,100.6
24.7,99.3
24.9,103.6
25.1,97.9
25.2,101.4
25.4,96.2
25.6,96.9

