"Path Profile X=[331,765] Y=1289 W=48   - Red","AD\jneylon 12/6/2023 3:44:41 PM"
x / mm,y / cGy
x1,y1
0.0,16.9
0.2,15.4
0.3,16.6
0.5,15.4
0.7,16.7
0.8,16.5
1.0,14.8
1.2,16.9
1.4,15.1
1.5,16.3
1.7,15.0
1.9,14.1
2.0,14.3
2.2,16.6
2.4,16.2
2.5,15.5
2.7,17.0
2.9,15.1
3.0,15.2
3.2,16.7
3.4,15.7
3.6,15.7
3.7,16.9
3.9,16.0
4.1,16.5
4.2,16.6
4.4,15.9
4.6,16.2
4.7,15.7
4.9,14.6
5.1,17.8
5.2,16.2
5.4,16.1
5.6,16.2
5.8,17.0
5.9,16.9
6.1,18.3
6.3,17.7
6.4,15.0
6.6,16.9
6.8,16.2
6.9,16.3
7.1,16.7
7.3,16.5
7.5,16.4
7.6,16.6
7.8,16.8
8.0,15.4
8.1,16.2
8.3,17.3
8.5,18.4
8.6,18.4
8.8,17.6
9.0,18.8
9.1,19.5
9.3,18.7
9.5,18.5
9.7,19.2
9.8,20.9
10.0,20.5
10.2,20.2
10.3,21.3
10.5,22.1
10.7,23.2
10.8,24.1
11.0,24.8
11.2,23.8
11.3,24.5
11.5,26.8
11.7,27.0
11.9,27.9
12.0,28.7
12.2,28.6
12.4,30.2
12.5,31.4
12.7,32.1
12.9,33.9
13.0,35.6
13.2,35.8
13.4,39.3
13.5,38.9
13.7,42.1
13.9,42.8
14.1,45.0
14.2,46.8
14.4,49.9
14.6,51.9
14.7,54.8
14.9,56.5
15.1,59.7
15.2,64.5
15.4,65.6
15.6,71.0
15.7,73.7
15.9,79.5
16.1,83.5
16.3,90.8
16.4,94.0
16.6,101.4
16.8,109.9
16.9,116.5
17.1,124.7
17.3,135.0
17.4,144.5
17.6,153.1
17.8,162.8
17.9,173.9
18.1,182.7
18.3,190.2
18.5,197.1
18.6,203.0
18.8,203.8
19.0,208.0
19.1,208.0
19.3,210.7
19.5,212.3
19.6,215.5
19.8,214.8
20.0,219.9
20.2,218.6
20.3,223.4
20.5,225.4
20.7,225.8
20.8,226.4
21.0,229.0
21.2,230.6
21.3,230.8
21.5,236.0
21.7,234.9
21.8,238.4
22.0,241.4
22.2,243.6
22.4,243.4
22.5,242.6
22.7,241.8
22.9,245.4
23.0,249.1
23.2,247.9
23.4,249.1
23.5,248.4
23.7,250.6
23.9,253.0
24.0,255.3
24.2,256.6
24.4,257.1
24.6,259.7
24.7,262.6
24.9,263.5
25.1,265.8
25.2,267.4
25.4,266.9
25.6,266.9
25.7,270.7
25.9,271.2
26.1,271.6
26.2,273.2
26.4,274.6
26.6,275.8
26.8,278.0
26.9,278.3
27.1,279.5
27.3,279.7
27.4,282.8
27.6,283.2
27.8,286.3
27.9,284.9
28.1,284.8
28.3,283.4
28.4,287.8
28.6,290.2
28.8,286.9
29.0,292.6
29.1,290.2
29.3,294.0
29.5,290.4
29.6,292.4
29.8,292.5
30.0,296.9
30.1,296.1
30.3,295.7
30.5,296.0
30.6,298.4
30.8,297.9
31.0,298.6
31.2,300.6
31.3,300.4
31.5,296.9
31.7,301.8
31.8,302.0
32.0,305.3
32.2,301.0
32.3,305.2
32.5,302.9
32.7,302.5
32.9,299.5
33.0,302.4
33.2,302.6
33.4,304.1
33.5,299.5
33.7,302.2
33.9,305.8
34.0,300.3
34.2,303.5
34.4,298.0
34.5,300.6
34.7,299.1
34.9,298.8
35.1,296.6
35.2,295.0
35.4,293.7
35.6,291.3
35.7,288.1
35.9,286.4
36.1,285.9
36.2,279.5
36.4,282.5
36.6,276.0
36.7,276.5
36.9,277.2
37.1,279.0
37.3,280.8
37.4,277.4
37.6,278.7
37.8,277.5
37.9,275.0
38.1,277.3
38.3,275.8
38.4,271.1
38.6,273.0
38.8,273.8
38.9,274.0
39.1,269.6
39.3,268.2
39.5,267.6
39.6,268.5
39.8,267.5
40.0,267.7
40.1,268.8
40.3,270.1
40.5,267.8
40.6,268.3
40.8,265.6
41.0,261.8
41.1,266.0
41.3,267.5
41.5,269.4
41.7,270.1
41.8,273.5
42.0,274.3
42.2,275.6
42.3,277.7
42.5,282.1
42.7,282.5
42.8,285.5
43.0,286.9
43.2,288.6
43.3,287.1
43.5,290.2
43.7,293.9
43.9,291.9
44.0,297.6
44.2,298.2
44.4,300.0
44.5,298.6
44.7,301.1
44.9,302.4
45.0,298.6
45.2,300.7
45.4,303.5
45.6,300.8
45.7,307.0
45.9,306.6
46.1,303.2
46.2,305.4
46.4,301.4
46.6,305.9
46.7,303.6
46.9,303.2
47.1,305.2
47.2,307.3
47.4,305.5
47.6,305.8
47.8,305.4
47.9,305.5
48.1,306.1
48.3,305.5
48.4,303.5
48.6,303.5
48.8,305.7
48.9,302.3
49.1,301.8
49.3,302.7
49.4,300.1
49.6,299.4
49.8,299.7
50.0,299.7
50.1,296.2
50.3,295.5
50.5,293.8
50.6,292.7
50.8,293.3
51.0,290.2
51.1,289.4
51.3,286.7
51.5,289.2
51.6,284.6
51.8,282.6
52.0,283.4
52.2,280.9
52.3,280.8
52.5,280.7
52.7,278.7
52.8,276.6
53.0,274.4
53.2,274.3
53.3,273.4
53.5,270.0
53.7,271.5
53.8,267.7
54.0,268.1
54.2,265.6
54.4,266.1
54.5,263.5
54.7,258.8
54.9,255.9
55.0,253.4
55.2,255.4
55.4,251.6
55.5,251.9
55.7,248.9
55.9,248.3
56.0,247.8
56.2,245.6
56.4,242.2
56.6,240.3
56.7,238.7
56.9,235.3
57.1,236.8
57.2,232.0
57.4,231.7
57.6,230.7
57.7,227.9
57.9,224.9
58.1,223.5
58.3,221.1
58.4,218.7
58.6,219.2
58.8,215.4
58.9,211.2
59.1,207.2
59.3,203.4
59.4,195.0
59.6,186.6
59.8,176.9
59.9,166.4
60.1,155.6
60.3,145.7
60.5,136.7
60.6,127.3
60.8,118.7
61.0,109.3
61.1,104.2
61.3,97.7
61.5,92.1
61.6,87.4
61.8,81.7
62.0,79.1
62.1,75.5
62.3,71.5
62.5,69.3
62.7,64.6
62.8,61.6
63.0,59.1
63.2,56.4
63.3,54.2
63.5,52.3
63.7,50.7
63.8,48.6
64.0,47.0
64.2,44.9
64.3,43.4
64.5,43.3
64.7,41.5
64.9,42.3
65.0,39.9
65.2,38.0
65.4,38.2
65.5,36.5
65.7,36.3
65.9,34.6
66.0,34.4
66.2,33.1
66.4,32.5
66.5,32.9
66.7,31.7
66.9,31.6
67.1,31.2
67.2,30.1
67.4,29.8
67.6,29.7
67.7,28.2
67.9,27.7
68.1,28.5
68.2,28.1
68.4,25.8
68.6,26.7
68.7,25.2
68.9,25.0
69.1,25.8
69.3,25.9
69.4,24.6
69.6,26.4
69.8,24.5
69.9,25.3
70.1,26.0
70.3,23.8
70.4,24.9
70.6,24.3
70.8,24.6
71.0,25.8
71.1,24.8
71.3,25.7
71.5,25.2
71.6,26.5
71.8,25.7
72.0,25.6
72.1,26.7
72.3,26.3
72.5,26.6
72.6,27.4
72.8,27.9
73.0,28.2
73.2,26.6
73.3,26.7

