"Path Profile X=[76,410] Y=[228,481] W=48   - Red","AD\jneylon 12/6/2023 3:36:41 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,47440
0.2,47433
0.4,47426
0.6,47453
0.8,47459
1.1,47453
1.3,47558
1.5,47466
1.7,47440
1.9,47499
2.1,47486
2.3,47420
2.5,47360
2.8,47367
3.0,47321
3.2,47380
3.4,47420
3.6,47393
3.8,47400
4.0,47334
4.2,47314
4.5,47229
4.7,47321
4.9,47288
5.1,47288
5.3,47235
5.5,47209
5.7,47176
5.9,47235
6.2,47262
6.4,47163
6.6,47123
6.8,47077
7.0,47103
7.2,47024
7.4,46952
7.6,46939
7.9,46873
8.1,46820
8.3,46741
8.5,46748
8.7,46675
8.9,46655
9.1,46563
9.3,46537
9.6,46497
9.8,46418
10.0,46379
10.2,46372
10.4,46220
10.6,46161
10.8,46049
11.0,45950
11.3,45858
11.5,45792
11.7,45660
11.9,45535
12.1,45436
12.3,45047
12.5,45047
12.7,44870
13.0,44764
13.2,44580
13.4,44237
13.6,43888
13.8,43782
14.0,43341
14.2,42899
14.4,42405
14.7,42029
14.9,41449
15.1,40771
15.3,39723
15.5,39374
15.7,38517
15.9,37838
16.1,37594
16.4,37489
16.6,37469
16.8,37311
17.0,37291
17.2,37133
17.4,37140
17.6,37100
17.8,36955
18.1,37001
18.3,36889
18.5,36830
18.7,36804
18.9,36665
19.1,36679
19.3,36593
19.5,36481
19.8,36454
20.0,36428
20.2,36454
20.4,36323
20.6,36244
20.8,36303
21.0,36204
21.2,36211
21.5,36125
21.7,36092
21.9,36132
22.1,36079
22.3,36052
22.5,35993
22.7,36006
22.9,35967
23.2,35861
23.4,35927
23.6,35934
23.8,35927
24.0,35934
24.2,35940
24.4,35940
24.6,35967
24.9,35940
25.1,36013
25.3,36000
25.5,36026
25.7,36085
25.9,36145
26.1,36224
26.3,36290
26.6,36224
26.8,36336
27.0,36356
27.2,36408
27.4,36534
27.6,36606
27.8,36659
28.0,36718
28.3,36863
28.5,37008
28.7,37067
28.9,37173
29.1,37225
29.3,37127
29.5,37067
29.7,36962
30.0,36804
30.2,36639
30.4,36632
30.6,36487
30.8,36507
31.0,36362
31.2,36369
31.4,36277
31.7,36204
31.9,36145
32.1,36066
32.3,36046
32.5,36013
32.7,36006
32.9,35940
33.1,36033
33.4,36000
33.6,35861
33.8,35835
34.0,35861
34.2,35756
34.4,35598
34.6,35565
34.8,35486
35.1,35499
35.3,35492
35.5,35453
35.7,35334
35.9,35400
36.1,35347
36.3,35347
36.5,35407
36.8,35334
37.0,35426
37.2,35361
37.4,35367
37.6,35354
37.8,35433
38.0,35459
38.2,35440
38.4,35545
38.7,35538
38.9,35565
39.1,35585
39.3,35611
39.5,35631
39.7,35624
39.9,35651
40.1,35743
40.4,35776
40.6,35855
40.8,35908
41.0,35894
41.2,36020
41.4,36118
41.6,36145
41.8,36118
42.1,36138
42.3,36257
42.5,36316
42.7,36316
42.9,36382
43.1,36494
43.3,36593
43.5,36639
43.8,36725
44.0,36817
44.2,36823
44.4,36955
44.6,36936
44.8,37067
45.0,37094
45.2,37212
45.5,37219
45.7,37357
45.9,37482
46.1,37707
46.3,37950
46.5,38497
46.7,39361
46.9,40211
47.2,40672
47.4,41272
47.6,41786
47.8,42385
48.0,42662
48.2,43097
48.4,43492
48.6,43743
48.9,43894
49.1,44164
49.3,44395
49.5,44514
49.7,44685
49.9,44837
50.1,44962
50.3,45113
50.6,45245
50.8,45370
51.0,45456
51.2,45647
51.4,45614
51.6,45792
51.8,45812
52.0,45871
52.3,45931
52.5,46069
52.7,46069
52.9,46089
53.1,46194
53.3,46194
53.5,46253
53.7,46346
54.0,46352
54.2,46405
54.4,46392
54.6,46517
54.8,46517
55.0,46537
55.2,46583
55.4,46530
55.7,46589
55.9,46616
56.1,46662
56.3,46708
56.5,46570
56.7,46695
56.9,46642
57.1,46649
57.4,46583
57.6,46761
57.8,46761
58.0,46754
58.2,46787
58.4,46807
58.6,46814
58.8,46794
59.1,46787
59.3,46748
59.5,46800
59.7,46853
59.9,46866
60.1,46873
60.3,46866
60.5,46959
60.8,46827
61.0,46873
61.2,46926
61.4,46899
61.6,46873
61.8,46899
62.0,46886
62.2,46912
62.5,46978
62.7,46879
62.9,46965
63.1,46939
63.3,46886
63.5,46978
63.7,46939
63.9,46899
64.2,46965
64.4,46912
64.6,46972
64.8,46939
65.0,46945
65.2,47011
65.4,46959
65.6,46932
65.9,46945
66.1,47005
66.3,47044
66.5,47071
66.7,47077
66.9,46991
67.1,46985
67.3,47103
67.6,46965
67.8,47024
68.0,46991
68.2,47005
68.4,46952
68.6,46991
68.8,46939
69.0,46978
69.3,46978
69.5,46893
69.7,46965
69.9,46886
70.1,46866
70.3,46853
70.5,46886
70.7,46945

