"Path Profile X=[118,610] Y=[61,472] W=48   - Red","AD\jneylon 12/6/2023 3:48:57 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,46024
0.2,46072
0.4,45996
0.7,45982
0.9,46010
1.1,45934
1.3,45940
1.5,45940
1.8,45899
2.0,45947
2.2,45892
2.4,45954
2.6,45899
2.9,45961
3.1,45940
3.3,45885
3.5,45913
3.8,45850
4.0,45878
4.2,45892
4.4,45954
4.6,45975
4.9,45850
5.1,45843
5.3,45927
5.5,45906
5.7,45906
6.0,45836
6.2,45829
6.4,45899
6.6,45878
6.8,45927
7.1,45892
7.3,45920
7.5,45906
7.7,45913
7.9,45871
8.2,45913
8.4,45913
8.6,45982
8.8,45857
9.0,45913
9.3,45940
9.5,45968
9.7,45940
9.9,45864
10.1,45899
10.4,45892
10.6,45802
10.8,45892
11.0,45892
11.3,45871
11.5,45802
11.7,45899
11.9,45920
12.1,45781
12.4,45836
12.6,45836
12.8,45899
13.0,45829
13.2,45802
13.5,45843
13.7,45871
13.9,45815
14.1,45850
14.3,45822
14.6,45871
14.8,45739
15.0,45843
15.2,45725
15.4,45829
15.7,45746
15.9,45718
16.1,45718
16.3,45732
16.5,45649
16.8,45642
17.0,45663
17.2,45677
17.4,45600
17.7,45600
17.9,45642
18.1,45572
18.3,45545
18.5,45524
18.8,45482
19.0,45454
19.2,45399
19.4,45295
19.6,45218
19.9,45156
20.1,45051
20.3,44857
20.5,44753
20.7,44530
21.0,44524
21.2,44232
21.4,44016
21.6,43669
21.8,43412
22.1,43155
22.3,43044
22.5,42822
22.7,42461
22.9,42391
23.2,42120
23.4,41981
23.6,41891
23.8,41828
24.1,41731
24.3,41697
24.5,41620
24.7,41551
24.9,41571
25.2,41544
25.4,41412
25.6,41363
25.8,41321
26.0,41266
26.3,41273
26.5,41120
26.7,41106
26.9,41120
27.1,41009
27.4,40967
27.6,40877
27.8,40884
28.0,40821
28.2,40745
28.5,40682
28.7,40689
28.9,40627
29.1,40578
29.3,40502
29.6,40474
29.8,40363
30.0,40238
30.2,40266
30.4,40224
30.7,40141
30.9,40092
31.1,40057
31.3,39974
31.6,39946
31.8,39981
32.0,39911
32.2,39842
32.4,39772
32.7,39724
32.9,39641
33.1,39634
33.3,39543
33.5,39432
33.8,39425
34.0,39335
34.2,39279
34.4,39224
34.6,39133
34.9,39008
35.1,39057
35.3,38946
35.5,39022
35.7,38932
36.0,38856
36.2,38744
36.4,38710
36.6,38731
36.8,38606
37.1,38550
37.3,38529
37.5,38508
37.7,38418
38.0,38349
38.2,38286
38.4,38286
38.6,38140
38.8,38119
39.1,38022
39.3,38029
39.5,38043
39.7,37973
39.9,37932
40.2,37821
40.4,37793
40.6,37807
40.8,37675
41.0,37682
41.3,37529
41.5,37605
41.7,37536
41.9,37411
42.1,37404
42.4,37293
42.6,37258
42.8,37258
43.0,37258
43.2,37161
43.5,37154
43.7,37098
43.9,37077
44.1,37077
44.3,37036
44.6,37029
44.8,36973
45.0,36925
45.2,36855
45.5,36890
45.7,36876
45.9,36841
46.1,36883
46.3,36841
46.6,36820
46.8,36862
47.0,36862
47.2,36862
47.4,36841
47.7,36911
47.9,36959
48.1,36973
48.3,36987
48.5,37064
48.8,37084
49.0,37119
49.2,37112
49.4,37272
49.6,37293
49.9,37459
50.1,37480
50.3,37459
50.5,37598
50.7,37661
51.0,37779
51.2,37828
51.4,37862
51.6,37848
51.9,37855
52.1,37828
52.3,37779
52.5,37793
52.7,37862
53.0,37890
53.2,37925
53.4,38001
53.6,38099
53.8,38092
54.1,38036
54.3,38112
54.5,38085
54.7,38092
54.9,38133
