"Path Profile X=[1169,1481] Y=216 W=48   - Red",AD\jneylon 12/6/2023 3:21:20 PM
x / mm,y / cGy
x1,y1
0,12.6
0.2,11.4
0.3,9.6
0.5,15.8
0.7,12.7
0.8,12.7
1,15.8
1.2,11.2
1.4,12.9
1.5,13.6
1.7,12.1
1.9,13.8
2,13.1
2.2,14.9
2.4,12.1
2.5,13.1
2.7,13.2
2.9,11.3
3,16.1
3.2,14.5
3.4,14.9
3.6,13.2
3.7,13
3.9,15
4.1,16
4.2,13.2
4.4,11.7
4.6,15.2
4.7,16.8
4.9,15.7
5.1,10.6
5.2,13.4
5.4,14
5.6,10.9
5.8,15.1
5.9,11.2
6.1,15.4
6.3,16.8
6.4,13.1
6.6,14.4
6.8,14.4
6.9,15.2
7.1,15.8
7.3,14.8
7.5,11.4
7.6,15
7.8,18.8
8,12.4
8.1,20.4
8.3,13.6
8.5,14.6
8.6,14.8
8.8,18.4
9,14.6
9.1,16
9.3,14.6
9.5,17.6
9.7,13.6
9.8,15.2
10,17.5
10.2,17.8
10.3,21
10.5,17.7
10.7,17.7
10.8,20.2
11,22
11.2,22.5
11.3,22.6
11.5,24.2
11.7,23.6
11.9,23.9
12,27.1
12.2,28.1
12.4,31.2
12.5,31.7
12.7,34.8
12.9,36
13,39.5
13.2,39
13.4,41.9
13.5,50
13.7,50.8
13.9,51.9
14.1,60.9
14.2,62.7
14.4,59.4
14.6,66.2
14.7,70.5
14.9,80.6
15.1,80.7
15.2,93.9
15.4,93.1
15.6,102.5
15.7,117.7
15.9,126.7
16.1,133.4
16.3,149.6
16.4,158.1
16.6,183
16.8,205.4
16.9,226
17.1,256.5
17.3,269.9
17.4,286.4
17.6,294.9
17.8,307
17.9,313.1
18.1,318.8
18.3,328.3
18.5,339.2
18.6,338.5
18.8,345.7
19,348.4
19.1,350.7
19.3,358.9
19.5,357.2
19.6,360.6
19.8,359.1
20,359.5
20.2,363.9
20.3,352.3
20.5,361.2
20.7,357.9
20.8,361.7
21,359.9
21.2,363.7
21.3,360.4
21.5,362.5
21.7,365.2
21.8,362.8
22,360.8
22.2,359
22.4,358.1
22.5,357.7
22.7,360.5
22.9,354.4
23,351.6
23.2,359.2
23.4,351.2
23.5,356.2
23.7,350.2
23.9,349.7
24,351.4
24.2,346
24.4,346.7
24.6,347.2
24.7,351.2
24.9,349.4
25.1,355.3
25.2,347.7
25.4,348.3
25.6,349.2
25.7,341.4
25.9,338.5
26.1,336.6
26.2,334.4
26.4,338.5
26.6,335.7
26.8,323.2
26.9,328.8
27.1,327.5
27.3,316.9
27.4,326.5
27.6,310.2
27.8,307
27.9,305.6
28.1,298
28.3,309
28.4,312.3
28.6,323.5
28.8,318.1
29,311.9
29.1,324
29.3,327.1
29.5,317.8
29.6,322.9
29.8,329.9
30,327.3
30.1,334.6
30.3,328.6
30.5,333.2
30.6,336.3
30.8,341.9
31,343.1
31.2,340
31.3,336.4
31.5,348.8
31.7,342.8
31.8,345.8
32,349
32.2,349
32.3,347.3
32.5,344.9
32.7,344.8
32.9,346.2
33,345
33.2,342.8
33.4,343.2
33.5,336.9
33.7,330.2
33.9,324.4
34,325.2
34.2,319.2
34.4,304
34.5,306.4
34.7,292.4
34.9,271.1
35.1,261.1
35.2,242
35.4,220.6
35.6,185.4
35.7,162.2
35.9,143.3
36.1,124.7
36.2,116.8
36.4,100.8
36.6,92.5
36.7,86.7
36.9,81.6
37.1,76
37.3,66
37.4,65.7
37.6,58.6
37.8,58.3
37.9,49.9
38.1,45.5
38.3,44.9
38.4,38.9
38.6,41.7
38.8,37
38.9,34
39.1,29.2
39.3,29.3
39.5,27.2
39.6,26.3
39.8,21.2
40,22.5
40.1,25
40.3,22.4
40.5,17.5
40.6,15.5
40.8,13.6
41,13.7
41.1,14.5
41.3,11.1
41.5,12.2
41.7,10.9
41.8,10.8
42,12.3
42.2,13.4
42.3,10.2
42.5,8.7
42.7,10.5
42.8,8.2
43,8.9
43.2,10.2
43.3,9
43.5,9.4
43.7,4.6
43.9,9.1
44,8.9
44.2,11.2
44.4,7.1
44.5,7.1
44.7,9.1
44.9,11.5
45,7.9
45.2,8.3
45.4,11.5
45.6,7.3
45.7,8.2
45.9,10.3
46.1,2.4
46.2,7.1
46.4,4.9
46.6,9.7
46.7,5.9
46.9,9.9
47.1,6.7
47.2,7.4
47.4,7.4
47.6,7.9
47.8,10
47.9,3.3
48.1,7.1
48.3,6.5
48.4,9.2
48.6,5.4
48.8,9.4
48.9,5
49.1,10
49.3,5.7
49.4,7.1
49.6,4.8
49.8,4.6
50,5.9
50.1,3.8
50.3,7.5
50.5,4.2
50.6,7.1
50.8,9.2
51,9.4
51.1,8.2
51.3,5
51.5,8.9
51.6,3.3
51.8,6.8
52,4.3
52.2,6
52.3,2
52.5,4.3
52.7,4.8
