"Path Profile X=[37,382] Y=1332 W=48   - Red","AD\jneylon 12/6/2023 3:42:57 PM"
x / mm,y / cGy
x1,y1
0.0,7.7
0.2,6.6
0.3,7.6
0.5,8.5
0.7,7.7
0.8,9.0
1.0,8.4
1.2,7.5
1.4,7.6
1.5,8.7
1.7,8.8
1.9,10.1
2.0,8.6
2.2,10.6
2.4,10.3
2.5,10.0
2.7,10.2
2.9,9.0
3.0,9.7
3.2,9.6
3.4,10.5
3.6,10.2
3.7,10.8
3.9,9.9
4.1,10.6
4.2,9.7
4.4,10.2
4.6,9.3
4.7,9.9
4.9,9.4
5.1,9.0
5.2,9.6
5.4,8.6
5.6,10.3
5.8,12.5
5.9,9.6
6.1,11.4
6.3,11.1
6.4,12.1
6.6,13.0
6.8,12.3
6.9,13.1
7.1,13.7
7.3,12.3
7.5,14.5
7.6,12.4
7.8,12.6
8.0,12.3
8.1,13.9
8.3,14.0
8.5,13.5
8.6,13.2
8.8,12.9
9.0,13.7
9.1,14.0
9.3,14.5
9.5,12.1
9.7,13.9
9.8,12.6
10.0,13.1
10.2,12.3
10.3,12.6
10.5,13.9
10.7,13.1
10.8,12.2
11.0,13.6
11.2,13.6
11.3,13.5
11.5,13.4
11.7,13.6
11.9,13.5
12.0,14.3
12.2,14.5
12.4,14.3
12.5,15.0
12.7,15.7
12.9,16.2
13.0,15.5
13.2,17.8
13.4,16.9
13.5,16.7
13.7,17.7
13.9,18.0
14.1,19.0
14.2,19.6
14.4,21.1
14.6,20.5
14.7,22.3
14.9,21.1
15.1,23.2
15.2,25.6
15.4,25.5
15.6,24.9
15.7,28.5
15.9,29.9
16.1,31.8
16.3,33.1
16.4,34.2
16.6,36.1
16.8,38.5
16.9,40.9
17.1,41.8
17.3,43.7
17.4,46.3
17.6,49.8
17.8,53.2
17.9,54.7
18.1,59.8
18.3,61.4
18.5,68.1
18.6,70.0
18.8,78.1
19.0,81.1
19.1,88.0
19.3,96.0
19.5,103.3
19.6,112.9
19.8,124.1
20.0,134.5
20.2,151.1
20.3,166.0
20.5,186.3
20.7,207.9
20.8,224.4
21.0,242.5
21.2,256.7
21.3,263.9
21.5,273.9
21.7,279.3
21.8,282.0
22.0,280.1
22.2,281.6
22.4,284.4
22.5,282.0
22.7,289.1
22.9,288.1
23.0,291.3
23.2,287.4
23.4,289.3
23.5,291.4
23.7,290.2
23.9,293.6
24.0,292.2
24.2,292.7
24.4,293.9
24.6,292.4
24.7,291.6
24.9,295.7
25.1,291.6
25.2,297.2
25.4,293.7
25.6,293.6
25.7,293.1
25.9,293.2
26.1,289.8
26.2,292.8
26.4,287.0
26.6,289.1
26.8,287.2
26.9,286.2
27.1,283.8
27.3,283.9
27.4,283.0
27.6,281.2
27.8,277.7
27.9,274.8
28.1,274.5
28.3,274.3
28.4,271.8
28.6,267.7
28.8,266.3
29.0,266.1
29.1,268.9
29.3,265.7
29.5,267.6
29.6,264.9
29.8,265.6
30.0,266.3
30.1,265.0
30.3,266.8
30.5,261.8
30.6,264.3
30.8,262.3
31.0,260.9
31.2,261.5
31.3,262.0
31.5,259.6
31.7,261.7
31.8,258.9
32.0,262.2
32.2,261.5
32.3,261.6
32.5,260.6
32.7,258.8
32.9,260.5
33.0,257.3
33.2,253.9
33.4,254.1
33.5,258.3
33.7,259.2
33.9,260.4
34.0,264.5
34.2,266.1
34.4,270.5
34.5,271.3
34.7,272.0
34.9,272.0
35.1,275.6
35.2,277.4
35.4,280.7
35.6,281.1
35.7,282.2
35.9,282.0
36.1,286.8
36.2,284.5
36.4,288.0
36.6,287.6
36.7,289.7
36.9,290.1
37.1,287.8
37.3,289.3
37.4,289.8
37.6,288.9
37.8,292.0
37.9,291.3
38.1,292.4
38.3,292.0
38.4,289.6
38.6,289.7
38.8,288.1
38.9,288.4
39.1,287.8
39.3,285.1
39.5,282.1
39.6,285.6
39.8,281.4
40.0,280.4
40.1,278.9
40.3,275.3
40.5,272.3
40.6,266.5
40.8,256.9
41.0,244.8
41.1,227.0
41.3,208.7
41.5,191.7
41.7,169.6
41.8,151.6
42.0,136.9
42.2,125.7
42.3,114.3
42.5,103.8
42.7,96.4
42.8,87.4
43.0,83.8
43.2,75.8
43.3,70.4
43.5,65.5
43.7,61.5
43.9,58.5
44.0,53.9
44.2,51.3
44.4,48.6
44.5,45.8
44.7,42.3
44.9,42.5
45.0,38.8
45.2,37.7
45.4,36.2
45.6,33.3
45.7,33.8
45.9,29.5
46.1,29.5
46.2,27.9
46.4,27.0
46.6,26.0
46.7,25.3
46.9,24.2
47.1,22.6
47.2,20.6
47.4,20.6
47.6,19.2
47.8,19.4
47.9,19.0
48.1,18.5
48.3,19.2
48.4,18.1
48.6,17.9
48.8,17.0
48.9,18.0
49.1,16.1
49.3,15.6
49.4,14.4
49.6,18.3
49.8,15.7
50.0,14.5
50.1,14.8
50.3,15.3
50.5,14.8
50.6,14.9
50.8,14.3
51.0,14.3
51.1,14.7
51.3,14.1
51.5,14.4
51.6,13.6
51.8,15.4
52.0,14.6
52.2,14.2
52.3,15.4
52.5,14.3
52.7,13.9
52.8,13.6
53.0,13.4
53.2,14.8
53.3,13.9
53.5,15.1
53.7,14.9
53.8,15.5
54.0,15.2
54.2,15.4
54.4,15.6
54.5,13.7
54.7,14.5
54.9,14.9
55.0,14.9
55.2,15.3
55.4,16.2
55.5,16.0
55.7,15.0
55.9,15.2
56.0,14.0
56.2,14.2
56.4,14.7
56.6,15.3
56.7,14.4
56.9,14.8
57.1,14.3
57.2,14.5
57.4,15.6
57.6,14.2
57.7,14.6
57.9,15.3
58.1,15.1
58.3,14.2
58.4,16.0

